Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,1,18,7,0.438830164,0.235816107,0.181552379,0.179541387,0.191767685,0,0,0.555553719,0.545725815,0.574907709,0.575724641,0.573914453,0.562160219,0.553918621,0.665925229,0.831865395,0.85044488,0.862443384,0.9717395,1,1,1,0.994803349,1
0,2,19,7,0.837294301,0.148212501,0.023131715,0.008193023,0,0.320048532,0.505838173,0.725061609,0.968916758,0.99800542,0.982929258,0.935444407,0.858233454,0.835556627,0.993436936,1,1,0.999999934,0.990966352,0.735580907,0.349119662,0.148212501,0.027559897,1
0,0,20,7,0.181072246,0.17991837,0.262131778,0.489382873,0.574956041,0.572148073,0.565794144,0.572753792,0.571545186,0.570281553,0.574109685,0.571875652,0.574694195,0.576077752,0.807799192,0.997248701,1,1,0.998911241,0.800288133,0.492274581,0,0.204893581,1
0,0,21,7,0.180304245,0.180019426,0.251483919,0.491498305,0.572425893,0.569032809,0.56551383,0.574289098,0.571433592,0.574087119,0.575816432,0.565971905,0.565952011,0.54200296,0.787301343,0.947594102,1,1,1,0.998649504,0.657820834,0.50381634,0,1
0,0,22,7,0.176790292,0.177985915,0.246201311,0.492196652,0.562489596,0.570405712,0.572011556,0.573515191,0.574003742,0.569890773,0.566068698,0.548341493,0.574858978,0.510460112,0.695500673,0.862288468,0.994668029,0.998986469,0.999820375,1,0.790082145,0.454272402,0,1
0,0,23,7,0,0.003305448,0.083483073,0.447009306,0.463065638,0.487427454,0.462597071,0.484947166,0.462667054,0.473977392,0.454252354,0.47800835,0.484910545,0.386629118,0.646630213,0.833316365,1,1,1,1,0.998929491,0.701712461,0.441132311,1
0,1,24,7,0.174539742,0.179666109,0.200168577,0,0.465843753,0.569479826,0.574420265,0.574962256,0.574962256,0.574962256,0.574962256,0.574905833,0.574962256,0.433736512,0.5971272,0.789197212,0.862443384,0.872964327,0.998002553,1,1,1,0.997083244,1
0,1,25,7,0.431221692,0.267217185,0.179871588,0.172737654,0.151493008,0,0.563880394,0.555802738,0.574403649,0.573106547,0.573158999,0.576074804,0.573643357,0.574369087,0.730373917,0.848746718,0.862443384,0.862443384,0.99621625,0.999987989,1,1,1,1
0,2,26,7,0.456612909,0.213713187,0.027446505,0.02089541,0,0.209865957,0.563944634,0.667984264,0.698380315,0.689039936,0.712014852,0.702826993,0.692562086,0.691775885,0.981464688,1,0.939380222,0.939380222,0.883891123,0.577533425,0.697996566,0.214979233,0.020845473,1
0,0,27,7,0.006025852,0,0.119592998,0.515141236,0.70978184,0.685787246,0.514740368,0.482215718,0.475457787,0.475429454,0.482949502,0.488771497,0.475707812,0.58832855,0.833237389,1,1,1,1,0.944523909,0.434446721,0.482536946,0.136199258,1
0,0,28,7,0.001295138,0,0.081886226,0.373766628,0.491790279,0.464609951,0.481297864,0.480424484,0.480028507,0.483444569,0.48322136,0.4831537,0.461448663,0.452127841,0.740822167,0.9793723,1,1,1,0.968138624,0.56005179,0.444893933,0.130715011,1
0,0,29,7,0.00050816,0,0.058895653,0.336070027,0.476854704,0.484327452,0.441249412,0.478484578,0.458346944,0.473056679,0.474972868,0.44214666,0.466178106,0.380554719,0.684454477,0.819298083,0.999630562,1,1,0.996523388,0.575222325,0.343455951,0.13058979,1
0,0,30,7,0,0.001616328,0.086910995,0.361016065,0.470646026,0.477932309,0.477188834,0.481260556,0.479837806,0.475298651,0.476874157,0.464559435,0.483378627,0.470113789,0.661504656,0.82438145,0.999993657,1,1,1,0.997866101,0.538627388,0.399789443,1
0,1,31,7,0.178146199,0.181005467,0.200759949,0,0.475818979,0.570036431,0.568164159,0.574962256,0.574962256,0.574962256,0.571215513,0.574962256,0,0.431221692,0.66997103,0.80000712,0.935314813,0.992242422,1,0.974217036,0.952639401,0.993826495,0.999844394,1
