Anomalous,Cluster,Day,Month,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
0,1,Nan,Nan,0.438830164,0.235816107,0.181552379,0.179541387,0.191767685,0,0,0.555553719,0.545725815,0.574907709,0.575724641,0.573914453,0.562160219,0.553918621,0.665925229,0.831865395,0.85044488,0.862443384,0.9717395,1,1,1,0.994803349,1
0,0,Nan,Nan,0.181072246,0.17991837,0.262131778,0.489382873,0.574956041,0.572148073,0.565794144,0.572753792,0.571545186,0.570281553,0.574109685,0.571875652,0.574694195,0.576077752,0.807799192,0.997248701,1,1,0.998911241,0.800288133,0.492274581,0,0.204893581,1
0,0,Nan,Nan,0.176790292,0.177985915,0.246201311,0.492196652,0.562489596,0.570405712,0.572011556,0.573515191,0.574003742,0.569890773,0.566068698,0.548341493,0.574858978,0.510460112,0.695500673,0.862288468,0.994668029,0.998986469,0.999820375,1,0.790082145,0.454272402,0,1
0,0,Nan,Nan,0,0.003305448,0.083483073,0.447009306,0.463065638,0.487427454,0.462597071,0.484947166,0.462667054,0.473977392,0.454252354,0.47800835,0.484910545,0.386629118,0.646630213,0.833316365,1,1,1,1,0.998929491,0.701712461,0.441132311,1
0,1,Nan,Nan,0.174539742,0.179666109,0.200168577,0,0.465843753,0.569479826,0.574420265,0.574962256,0.574962256,0.574962256,0.574962256,0.574905833,0.574962256,0.433736512,0.5971272,0.789197212,0.862443384,0.872964327,0.998002553,1,1,1,0.997083244,1
0,1,Nan,Nan,0.431221692,0.267217185,0.179871588,0.172737654,0.151493008,0,0.563880394,0.555802738,0.574403649,0.573106547,0.573158999,0.576074804,0.573643357,0.574369087,0.730373917,0.848746718,0.862443384,0.862443384,0.99621625,0.999987989,1,1,1,1
0,0,Nan,Nan,0.006025852,0,0.119592998,0.515141236,0.70978184,0.685787246,0.514740368,0.482215718,0.475457787,0.475429454,0.482949502,0.488771497,0.475707812,0.58832855,0.833237389,1,1,1,1,0.944523909,0.434446721,0.482536946,0.136199258,1
0,0,Nan,Nan,0.001295138,0,0.081886226,0.373766628,0.491790279,0.464609951,0.481297864,0.480424484,0.480028507,0.483444569,0.48322136,0.4831537,0.461448663,0.452127841,0.740822167,0.9793723,1,1,1,0.968138624,0.56005179,0.444893933,0.130715011,1
0,0,Nan,Nan,0.00050816,0,0.058895653,0.336070027,0.476854704,0.484327452,0.441249412,0.478484578,0.458346944,0.473056679,0.474972868,0.44214666,0.466178106,0.380554719,0.684454477,0.819298083,0.999630562,1,1,0.996523388,0.575222325,0.343455951,0.13058979,1
0,0,Nan,Nan,0,0.001616328,0.086910995,0.361016065,0.470646026,0.477932309,0.477188834,0.481260556,0.479837806,0.475298651,0.476874157,0.464559435,0.483378627,0.470113789,0.661504656,0.82438145,0.999993657,1,1,1,0.997866101,0.538627388,0.399789443,1
0,1,Nan,Nan,0.178146199,0.181005467,0.200759949,0,0.475818979,0.570036431,0.568164159,0.574962256,0.574962256,0.574962256,0.571215513,0.574962256,0,0.431221692,0.66997103,0.80000712,0.935314813,0.992242422,1,0.974217036,0.952639401,0.993826495,0.999844394,1
0,1,Nan,Nan,0.431153994,0.255264302,0.181243768,0.178396204,0.177144458,0,0.574871993,0.558258324,0.55883286,0.567748481,0.565672631,0.572183989,0.569357225,0.555623958,0.691678908,0.766746539,0.759549575,0.834917916,0.902321847,0.999319318,0.99984301,0.99984301,1,1
0,0,Nan,Nan,0.001278283,0,0.111774013,0.479337467,0.485632392,0.613002913,0.528312872,0.467155849,0.477836537,0.477566729,0.480705972,0.475167841,0.465454925,0.476238811,0.731581806,0.991212306,1,1,1,0.809355569,0.462094015,0.395647087,0.132787263,1
0,0,Nan,Nan,0.000601045,0,0.069734626,0.33998839,0.474800219,0.46183166,0.423945221,0.463600981,0.475577967,0.48195031,0.48342175,0.478748271,0.390695614,0.441143264,0.739647064,0.955769271,1,1,1,0.996818119,0.521383725,0.334957112,0.130676418,1
0,0,Nan,Nan,0,0.003564171,0.070694576,0.370050346,0.461057103,0.487298892,0.429816336,0.484378196,0.482817965,0.478685815,0.474284768,0.442345606,0.460899789,0.410656417,0.719282256,0.875128498,1,1,1,1,0.977350312,0.433131768,0.370738173,1
0,1,Nan,Nan,0.172252345,0.181293937,0.185275527,0,0.467054317,0.570807607,0.573547886,0.528301042,0.571205261,0.574962256,0.529756291,0.548434464,0.574962256,0.49789692,0.634994959,0.841852513,0.997625998,1,1,1,1,1,0.995883125,1
0,1,Nan,Nan,0.431395189,0.241800118,0.180845958,0.175390161,0.17764625,0,0.562438245,0.570876907,0.565094055,0.577256582,0.577005063,0.570003624,0.559545904,0.569173974,0.590376396,0.719736966,0.858387059,0.862443384,0.862453642,0.998530294,1,1,0.944675834,1
0,2,Nan,Nan,0.862443384,0.285314734,0.180188372,0.173301546,0.18095135,0,0.524164497,0.640944889,0.804761063,0.930513079,0.932319828,0.862443384,0.797712146,0.966873477,0.999997933,1,1,1,0.989813879,0.794423586,0.44262104,0.287481128,0.18738037,1
0,0,Nan,Nan,0.178241838,0.175016944,0.266518759,0.497063146,0.569392995,0.572210812,0.568679444,0.576620739,0.575527279,0.570526268,0.574151139,0.568285552,0.570731418,0.726740885,0.834198733,0.999923422,1,1,0.998218224,0.774546636,0.45992361,0,0.195529103,1
0,0,Nan,Nan,0.181302716,0.180405335,0.244531079,0.478764713,0.56310038,0.574258152,0.573229528,0.573509046,0.57704058,0.574820244,0.575383665,0.577117851,0.575185248,0.573340658,0.799252911,0.996735447,1,1,1,0.957567758,0.532088545,0,0.287481128,1
0,0,Nan,Nan,0.180280607,0.180093003,0.233286444,0.433694285,0.575565032,0.570928838,0.573357368,0.570651349,0.569885931,0.575550355,0.578011576,0.57181734,0.532824904,0.531646547,0.778431896,0.985964421,1,1,1,0.995871789,0.785079717,0,0,1
0,0,Nan,Nan,0.000317518,0,0.051889871,0.31427928,0.46043083,0.469700622,0.46103821,0.463942307,0.460147036,0.469563424,0.470259068,0.482825668,0.467378464,0.404809522,0.728064751,0.934226528,1,1,1,1,0.856133233,0.483396254,0.373094259,1
0,0,Nan,Nan,0,0.002046945,0.059177395,0.314485288,0.480347554,0.480919015,0.473669148,0.465609696,0.476344293,0.483438566,0.485342749,0.484101153,0.43655952,0.449390134,0.700328976,0.908180097,1,1,1,1,0.934930855,0.518231312,0.343491641,1
0,1,Nan,Nan,0.1738627,0.181640792,0.194572665,0,0.537002892,0.575678714,0.566362739,0.553612949,0.555730051,0.574387884,0.574850777,0.571551095,0.568343455,0.573528903,0.774102993,0.873312965,0.985910889,0.996047573,0.999926636,1,1,1,0.99419246,1
1,1,Nan,Nan,0.46447964,0.233872233,0.178610649,0.173090688,0.152801471,0,0.490954604,0.546595643,0.561349657,0.568809953,0.575004452,0.575755935,0.574043126,0.575652679,0.576478612,0.725365786,0.76044907,0.792099352,0.862443384,0.997776592,1,0.936055009,0.782891955,1
1,0,Nan,Nan,0,0.20489293,0.176671007,0.165872785,0.166611823,0.287481128,0.562846883,0.516351806,0.566810431,0.585482747,0.718062435,0.734521259,0.730191279,0.762662235,0.965952939,1,1,1,0.988395003,0.757145782,0.510356957,0.287481128,0.17369961,1
0,0,Nan,Nan,0.180413454,0.177684206,0.260964241,0.509564786,0.574216113,0.677250671,0.571022499,0.573955106,0.573624975,0.57110658,0.571483459,0.574461329,0.569194796,0.580895634,0.800892731,0.996010643,0.999820306,0.999820306,1,0.789117321,0.515606192,0,0.216391489,1
0,0,Nan,Nan,0.001719533,0,0.075889451,0.332941277,0.467463234,0.477754388,0.479741916,0.482123618,0.484372989,0.483431917,0.483039894,0.481732261,0.392415992,0.431335602,0.583065854,0.812300712,0.999609011,1,1,0.948950351,0.573322308,0.439908687,0.131648175,1
0,0,Nan,Nan,0.180275753,0.180463803,0.23209947,0.450762736,0.550414269,0.55901096,0.564701863,0.56822851,0.55996134,0.544593772,0.553527424,0.520930478,0,0.44771307,0.593099953,0.796973404,0.976873085,1,1,1,0.82863483,0.463998105,0,1
