h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
0.001749178,0.0,0.07607225,0.403247684,0.451889877,0.48096789,0.483465739,0.48491545,0.482837148,0.481129427,0.48114913,0.480880326,0.408448997,0.463184154,0.761906683,0.983759761,1.0,1.0,1.0,0.74171614,0.338656344,0.131018252,0.007547654
0.181270001,0.180707933,0.244705993,0.486880365,0.646671413,0.604734363,0.570648682,0.569275091,0.572166195,0.573590463,0.573488863,0.573830575,0.49245515,0.517484028,0.77651766,0.862288469,0.999820377,1.0,0.995433115,0.792901308,0.475355837,0.0,0.229025364
0.834405298,0.14223766,0.010070713,0.0,0.041128016,0.315287939,0.47281662,0.673887403,0.834405298,0.993653161,0.797848261,0.742379213,0.703728633,0.781566623,0.996539689,1.0,1.0,0.999706705,0.79448566,0.492354665,0.315961571,0.129238118,0.012671753
0.440282061,0.244073008,0.181113294,0.178846156,0.169369831,0.206202387,0.0,0.543935364,0.555504377,0.572593874,0.594883495,0.653250194,0.569473244,0.576976503,0.756428427,0.982452564,1.0,1.0,1.0,1.0,1.0,0.998010555,0.794554766
0.006025852,0.0,0.119592998,0.515141236,0.70978184,0.685787246,0.514740368,0.482215718,0.475457787,0.475429454,0.482949502,0.488771497,0.475707812,0.58832855,0.833237389,1.0,1.0,1.0,1.0,0.944523909,0.434446721,0.482536946,0.136199258
0.180313253,0.177145531,0.266708482,0.562858088,0.739661742,0.7701857,0.658473139,0.573756197,0.577287041,0.575862254,0.573458141,0.572684248,0.575653591,0.613430977,0.859543269,0.999992959,1.0,1.0,1.0,0.806556657,0.508016074,0.0,0.221021124
0.465426749,0.286144114,0.178909887,0.17392871,0.161983837,0.287481128,0.488462842,0.559577873,0.577679103,0.586268916,0.680656397,0.71870282,0.71870282,0.826120661,0.917683808,1.0,0.965553296,0.977136404,0.999660967,0.790847997,0.478977445,0.0,0.210362641
0.001412559,0.0,0.138101529,0.569877741,0.657106931,0.657106931,0.657106931,0.589935715,0.474814317,0.475680666,0.480361411,0.474527242,0.48039074,0.492951455,0.812339893,1.0,1.0,1.0,0.995222617,0.738624044,0.385152853,0.131460251,0.02477007
0.002360901,0.0,0.090997281,0.374088426,0.47577785,0.747230142,0.710566798,0.464727745,0.482368964,0.481724695,0.470028373,0.466608144,0.480624743,0.519494125,0.835407379,1.0,1.0,1.0,1.0,0.996338885,0.663440519,0.356147918,0.132316004
0.180894764,0.179121351,0.259688229,0.523400975,0.71870282,0.71537609,0.56949775,0.573624922,0.575921309,0.575847457,0.576383635,0.578802716,0.574313648,0.585761064,0.826930285,0.999450446,1.0,1.0,0.997817339,0.772372593,0.461212208,0.0,0.226510224
0.179604574,0.179739672,0.225286435,0.450913783,0.612267942,0.71870282,0.578039722,0.63388788,0.71870282,0.591466288,0.592271193,0.572022326,0.571964013,0.623941455,0.854943174,1.0,1.0,1.0,1.0,0.989982917,0.733755674,0.462896292,0.0
0.0,0.003305448,0.083483073,0.447009306,0.463065638,0.487427454,0.462597071,0.484947166,0.462667054,0.473977392,0.454252354,0.47800835,0.484910545,0.386629118,0.646630213,0.833316365,1.0,1.0,1.0,1.0,0.998929491,0.701712461,0.441132311
0.007726802,0.00395622,0.117964221,0.486632043,0.735118317,0.711916715,0.459377261,0.479483552,0.48334174,0.484312605,0.485116114,0.481468915,0.478864141,0.576781239,0.833820014,1.0,1.0,1.0,0.980685404,0.570707943,0.359925796,0.136526645,0.0
